year,month,product,country,volume_kg,value_usd
2023,01,CRABMEAT NSPF OTHER PREPARATIONS,CANADA,392,19440
2023,01,CRABMEAT NSPF OTHER PREPARATIONS,COLOMBIA,1253,28670
2023,01,CRABMEAT NSPF OTHER PREPARATIONS,ECUADOR,144,3206
2023,01,CRABMEAT NSPF OTHER PREPARATIONS,IRELAND,8124,100385
2023,01,CRABMEAT NSPF OTHER PREPARATIONS,MEXICO,19400,361750
2023,01,CRABMEAT NSPF OTHER PREPARATIONS,THAILAND,720,8324
2023,01,CRABMEAT NSPF OTHER PREPARATIONS,VENEZUELA,3132,15259
2023,01,CRABMEAT SNOW (OPILIO) FROZEN,INDONESIA,1004,50922
2023,01,CRABMEAT SNOW (OPILIO) IN ATC,INDONESIA,69279,3422148
2023,01,CRABMEAT SNOW (OPILIO) IN ATC,VIETNAM,4654,222539
2023,01,CRABMEAT SNOW OTHER FROZEN,SOUTH KOREA,12258,217034
2023,01,CRABMEAT SNOW OTHER IN ATC,CHILE,11982,30000
2023,01,CRABMEAT SNOW OTHER IN ATC,SOUTH KOREA,29937,524490
2023,01,CRABMEAT SWIMMING (CALLINECTES) IN ATC,BRAZIL,638,12737
2023,01,CRABMEAT SWIMMING (CALLINECTES) IN ATC,CHILE,2590,34250
2023,01,CRABMEAT SWIMMING (CALLINECTES) IN ATC,CHINA,16411,241988
2023,01,CRABMEAT SWIMMING (CALLINECTES) IN ATC,COLOMBIA,21759,460996
2023,01,CRABMEAT SWIMMING (CALLINECTES) IN ATC,ECUADOR,397,6757
2023,01,CRABMEAT SWIMMING (CALLINECTES) IN ATC,INDONESIA,43574,1045275
2023,01,CRABMEAT SWIMMING (CALLINECTES) IN ATC,MEXICO,14115,284874
2023,01,CRABMEAT SWIMMING (CALLINECTES) IN ATC,NICARAGUA,9389,200713
2023,01,CRABMEAT SWIMMING (CALLINECTES) IN ATC,VENEZUELA,164686,2555035
2023,01,CRABMEAT SWIMMING (PORTUNIDAE) FROZEN,CANADA,14969,238000
2023,01,CRABMEAT SWIMMING (PORTUNIDAE) FROZEN,ECUADOR,233,6256
2023,01,CRABMEAT SWIMMING (PORTUNIDAE) FROZEN,INDONESIA,25403,497399
2023,01,CRABMEAT SWIMMING (PORTUNIDAE) FROZEN,MEXICO,3168,119904
2023,01,CRABMEAT SWIMMING (PORTUNIDAE) FROZEN,PORTUGAL,840,6464
2023,01,CRABMEAT SWIMMING (PORTUNIDAE) FROZEN,THAILAND,37098,602057
2023,01,CRABMEAT SWIMMING (PORTUNIDAE) FROZEN,VIETNAM,4094,46292
2023,01,CRABMEAT SWIMMING (PORTUNIDAE) IN ATC,BAHAMAS,303,7000
2023,01,CRABMEAT SWIMMING (PORTUNIDAE) IN ATC,CANADA,27882,568872
